Variable,Male_mean_sd,Female_mean_sd,t,df,p,sig
Age_DuringParticipation,71.13 (4.77),70.03 (5.06),1.419,136.4,0.1582,
MoCA,26.49 (2.02),27.47 (1.7),-3.218,112.6,0.0017,*
Education,17.08 (2.3),16.72 (2.01),1.031,116.4,0.3048,
MothersEd,13.29 (2.89),12.68 (2.85),1.326,129.2,0.1871,
