Variable,Male_mean_sd,Female_mean_sd,t,df,p,sig
Age_DuringParticipation,23.39 (3.01),22.1 (2.79),1.714,58,0.0919,
MoCA,28.23 (1.48),28.21 (1.11),0.056,55.6,0.9554,
Education,15.52 (1.59),15.17 (1.54),0.852,57.9,0.3979,
MothersEd,16.29 (2.38),16.31 (2.09),-0.035,57.8,0.9725,
